2017-07-19 21:42:06.761 INFO [main]com.lin.controller.test.responseSuccess():93 -后端返回对象：{"fan":[{},{"coe":0,"mse":"succ","code":1}]}
2017-07-19 21:42:06.761 INFO [main]com.lin.controller.test.responseSuccess():97 -后端返回数据：{"fan":[{},{"coe":0,"mse":"succ","code":1}]}
2017-07-19 21:42:06.761 INFO [main]com.lin.controller.test.responseSuccess():101 -输出结果：{"fan":[{},{"coe":0,"mse":"succ","code":1}],"isError":false,"errorMsg":""}
2017-07-19 21:42:23.847 INFO [main]com.lin.controller.test.responseSuccess():93 -后端返回对象：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:42:23.847 INFO [main]com.lin.controller.test.responseSuccess():97 -后端返回数据：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:42:23.847 INFO [main]com.lin.controller.test.responseSuccess():101 -输出结果：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}],"isError":false,"errorMsg":""}
2017-07-19 21:43:43.636 INFO [main]com.lin.controller.test.responseSuccess():93 -后端返回对象：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:43:43.661 INFO [main]com.lin.controller.test.responseSuccess():97 -后端返回数据：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:43:43.661 INFO [main]com.lin.controller.test.responseSuccess():101 -输出结果：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}],"isError":false,"errorMsg":""}
2017-07-19 21:48:19.198 INFO [main]com.lin.controller.test.responseSuccess():100 -后端返回对象：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:48:19.201 INFO [main]com.lin.controller.test.responseSuccess():104 -后端返回数据：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:48:19.201 INFO [main]com.lin.controller.test.responseSuccess():108 -输出结果：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}],"isError":false,"errorMsg":""}
2017-07-19 21:51:17.898 INFO [main]com.lin.controller.test.responseSuccess():102 -后端返回对象：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}]}
2017-07-19 21:51:17.902 INFO [main]com.lin.controller.test.responseSuccess():106 -后端返回数据：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}]}
2017-07-19 21:51:17.902 INFO [main]com.lin.controller.test.responseSuccess():110 -输出结果：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}],"isError":false,"errorMsg":""}
2017-07-19 21:52:01.944 INFO [main]com.lin.controller.test.responseSuccess():92 -后端返回对象：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}]}
2017-07-19 21:52:01.948 INFO [main]com.lin.controller.test.responseSuccess():96 -后端返回数据：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}]}
2017-07-19 21:52:01.949 INFO [main]com.lin.controller.test.responseSuccess():100 -输出结果：{"fan":[{"element_name":"element","value":"shanxi"},{"element_name":"element","value":"shanxi"}],"isError":false,"errorMsg":""}
2017-07-19 21:53:02.404 INFO [main]com.lin.controller.test.responseSuccess():88 -后端返回对象：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
2017-07-19 21:53:02.409 INFO [main]com.lin.controller.test.responseSuccess():92 -后端返回数据：{"fan":[{"element_name":"DTU","value":"1200"},{"element_name":"FTU","value":"1800"},{"element_name":"环网柜","value":"1800"}]}
